id,latitude,longitude,start_datetime,duration_minutes,priority,requires_road_closure,police_station,event_type,event_cause,zone,corridor,veh_type,hour_of_day,day_of_week,is_weekend,month,time_window,is_peak_hour,is_corridor_road,corridor_event_share,cause_historical_high_rate,target_priority,target_road_closure
FKID000011,12.94457,77.5274017,2024-01-30 05:21:06.975000+00:00,,High,False,Byatarayanapura,unplanned,vehicle_breakdown,Unknown,ORR West 1,private_car,10,1,0,1,morning_peak,1,1,0.020603202184435895,0.6623004502660663,1,0
FKID000012,12.9995223,77.6827499,2024-03-07 18:00:05.020000+00:00,,High,False,Mahadevapura,unplanned,water_logging,Unknown,ORR East 2,not_applicable,23,3,0,3,night,0,1,0.022713168673203426,0.5917030567685589,1,0
FKID000013,13.0418933,77.594705,2023-12-26 19:15:28.124000+00:00,,High,False,Hebbala,unplanned,others,North Zone 1,ORR North 1,not_applicable,0,2,0,12,night,0,1,0.034007695171900214,0.5959119496855346,1,0
FKID000014,12.975285,77.6256902,2024-03-07 19:26:15.604000+00:00,,High,False,Halasur,unplanned,pot_holes,Unknown,Old Madras Road,not_applicable,0,4,0,3,night,0,1,0.03189772868313268,0.5567970204841713,1,0
FKID000015,13.0633917,77.5933483,2024-03-07 19:10:21.930000+00:00,,High,False,Kodigehalli,unplanned,others,Unknown,Bellary Road 2,not_applicable,0,4,0,3,night,0,1,0.04703984113193496,0.5959119496855346,1,0
FKID000016,13.063425,77.5933,2024-03-07 19:11:15.565000+00:00,,High,False,Kodigehalli,unplanned,others,Unknown,Bellary Road 2,not_applicable,0,4,0,3,night,0,1,0.04703984113193496,0.5959119496855346,1,0
FKID000017,13.0254527,77.6417388,2024-03-07 19:18:29.890000+00:00,,High,False,Hennuru,unplanned,others,Unknown,ORR North 1,not_applicable,0,4,0,3,night,0,1,0.034007695171900214,0.5959119496855346,1,0
FKID000018,12.9233517,77.5904883,2024-03-07 19:39:29.764000+00:00,293.3450075,Low,False,Jayanagara,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,1,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,0
FKID000019,13.0001393,77.5840594,2024-01-30 04:49:17.231000+00:00,,High,False,Sadashivanagar,unplanned,vehicle_breakdown,Unknown,Bellary Road 1,ksrtc_bus,10,1,0,1,morning_peak,1,1,0.07533821521658185,0.6623004502660663,1,0
FKID000020,12.9071221,77.6286395,2024-03-07 19:25:04.302000+00:00,27.2487523,High,False,Madiwala,unplanned,vehicle_breakdown,Unknown,Hosur Road,heavy_vehicle,0,4,0,3,night,0,1,0.03686235571552687,0.6623004502660663,1,0
FKID000021,12.927375,77.5806883,2024-03-07 19:45:16.034000+00:00,,Low,True,Jayanagara,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,1,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,1
FKID000022,12.9169074,77.5950955,2024-01-05 22:35:41.185000+00:00,,Low,False,Jayanagara,unplanned,pot_holes,South Zone 1,Non-corridor,not_applicable,4,5,1,1,night,0,0,0.38029043068139506,0.5567970204841713,0,0
FKID000023,12.9667047,77.6615983,2024-01-30 08:32:47.117000+00:00,,Low,False,Jeevanbheemanagar,unplanned,pot_holes,Unknown,Unknown,not_applicable,14,1,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,0,0
FKID000024,12.8966387,77.7202071,2024-03-07 19:55:24.461000+00:00,,Low,False,Whitefield,unplanned,water_logging,Unknown,Non-corridor,not_applicable,1,4,0,3,night,0,0,0.38029043068139506,0.5917030567685589,0,0
FKID000025,12.9463911,77.597326,2024-03-07 06:09:19.361000+00:00,843.3240253,Low,True,Wilson Garden,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,11,3,0,3,morning_peak,1,0,0.38029043068139506,0.3274647887323944,0,1
FKID000026,12.9856042,77.5977438,2024-01-30 08:35:04.399000+00:00,,High,False,Shivajinagar,unplanned,pot_holes,Unknown,Unknown,not_applicable,14,1,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,1,0
FKID000027,12.9077383,77.6005709,2024-01-30 08:12:47.138000+00:00,,High,False,Mico Layout,unplanned,vehicle_breakdown,Unknown,Bannerghata Road,bmtc_bus,13,1,0,1,off_peak,0,1,0.025816060568449796,0.6623004502660663,1,0
FKID000028,12.9635109,77.6642122,2024-01-30 08:25:57.212000+00:00,9.079776783333333,Low,False,HAL Old Airport,unplanned,pot_holes,Unknown,Unknown,not_applicable,13,1,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,0,0
FKID000029,12.9667073,77.6615616,2024-01-30 08:31:37.367000+00:00,,Low,False,Jeevanbheemanagar,unplanned,pot_holes,Unknown,Unknown,not_applicable,14,1,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,0,0
FKID000030,12.9666867,77.6616478,2024-01-30 08:33:55.212000+00:00,,Low,False,Jeevanbheemanagar,unplanned,pot_holes,Unknown,Non-corridor,not_applicable,14,1,0,1,off_peak,0,0,0.38029043068139506,0.5567970204841713,0,0
FKID000031,12.907814,77.6006561,2024-01-30 08:08:05.581000+00:00,,High,True,Mico Layout,unplanned,vehicle_breakdown,Unknown,Bannerghata Road,bmtc_bus,13,1,0,1,off_peak,0,1,0.025816060568449796,0.6623004502660663,1,1
FKID000032,12.8955737,77.5993711,2024-01-30 05:43:18.534000+00:00,,High,False,J.P. Nagar,unplanned,vehicle_breakdown,Unknown,Bannerghata Road,lcv,11,1,0,1,morning_peak,1,1,0.025816060568449796,0.6623004502660663,1,0
FKID000033,12.92757,77.5832051,2024-03-07 20:06:03.523000+00:00,,Low,False,Jayanagara,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,1,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,0
FKID000034,13.044697,77.5828546,2024-01-30 05:38:15.485000+00:00,,High,False,Kodigehalli,unplanned,congestion,Unknown,ORR North 2,not_applicable,11,1,0,1,morning_peak,1,1,0.029167183815315873,0.6911764705882353,1,0
FKID000035,12.9666885,77.6616396,2024-01-30 08:35:57.672000+00:00,,Low,False,Jeevanbheemanagar,unplanned,pot_holes,Unknown,Unknown,not_applicable,14,1,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,0,0
FKID000036,12.9789228,77.5644032,2024-03-07 20:17:50.952000+00:00,,High,False,Magadi Road,unplanned,vehicle_breakdown,Unknown,Magadi Road,bmtc_bus,1,4,0,3,night,0,1,0.030160109221794712,0.6623004502660663,1,0
FKID000037,12.8636494,77.6725849,2024-01-30 03:52:59.126038+00:00,,Low,False,Electronic City,unplanned,accident,Unknown,Non-corridor,not_applicable,9,1,0,1,morning_peak,1,0,0.38029043068139506,0.4602739726027397,0,0
FKID000038,12.9219483,77.6002467,2024-01-30 15:15:10.139000+00:00,,High,False,Mico Layout,unplanned,vehicle_breakdown,Unknown,Bannerghata Road,heavy_vehicle,20,1,0,1,evening_peak,1,1,0.025816060568449796,0.6623004502660663,1,0
FKID000039,12.9666597,77.661556,2024-01-30 08:37:16.322000+00:00,,Low,False,Jeevanbheemanagar,unplanned,pot_holes,Unknown,Unknown,not_applicable,14,1,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,0,0
FKID000040,12.946469,77.6986754,2024-01-30 11:31:12.848000+00:00,,High,False,HAL Old Airport,planned,construction,Unknown,ORR East 1,not_applicable,17,1,0,1,evening_peak,1,1,0.03003599354598486,0.6438356164383562,1,0
FKID000041,12.9936273,77.5844677,2024-03-07 20:20:31.140000+00:00,106.41915116666668,High,True,High ground,unplanned,others,Unknown,Bellary Road 1,not_applicable,1,4,0,3,night,0,1,0.07533821521658185,0.5959119496855346,1,1
FKID000042,12.9465079,77.6986339,2024-01-30 20:38:19.329000+00:00,,High,False,HAL Old Airport,unplanned,vehicle_breakdown,Unknown,ORR East 1,bmtc_bus,2,2,0,1,night,0,1,0.03003599354598486,0.6623004502660663,1,0
FKID000043,13.0467058,77.5036495,2024-03-07 18:29:50.857000+00:00,,Low,False,Chikkabanavara,unplanned,vehicle_breakdown,Unknown,Non-corridor,lcv,23,3,0,3,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000044,13.0166142,77.5054464,2023-12-28 06:06:26.375000+00:00,,Low,False,Peenya,unplanned,vehicle_breakdown,West Zone 1,Non-corridor,bmtc_bus,11,3,0,12,morning_peak,1,0,0.38029043068139506,0.6623004502660663,0,0
FKID000045,13.0085677,77.6131497,2024-01-30 21:21:10.303000+00:00,,Low,True,K.G. Halli,planned,construction,Unknown,Non-corridor,not_applicable,2,2,0,1,night,0,0,0.38029043068139506,0.6438356164383562,0,1
FKID000046,13.0309717,77.5364661,2024-01-30 19:33:25.417000+00:00,,High,False,Yeshwanthpura,unplanned,vehicle_breakdown,Unknown,Tumkur Road,lcv,1,2,0,1,night,0,1,0.05684497952091349,0.6623004502660663,1,0
FKID000047,13.0262806,77.5442344,2024-03-07 20:27:15.443000+00:00,133.52983253333335,High,False,Yeshwanthpura,unplanned,others,Unknown,Tumkur Road,not_applicable,1,4,0,3,night,0,1,0.05684497952091349,0.5959119496855346,1,0
FKID000048,12.9938639,77.5844374,2024-03-07 20:41:41.999000+00:00,,High,False,High ground,unplanned,tree_fall,Unknown,Bellary Road 1,not_applicable,2,4,0,3,night,0,1,0.07533821521658185,0.3274647887323944,1,0
FKID000049,12.9188682,77.6687736,2024-01-30 21:27:52.454000+00:00,55.541728516666666,High,False,Bellandur,unplanned,vehicle_breakdown,Unknown,ORR East 1,bmtc_bus,2,2,0,1,night,0,1,0.03003599354598486,0.6623004502660663,1,0
FKID000050,12.9546127,77.6423399,2024-01-30 20:46:34.356000+00:00,,High,False,Jeevanbheemanagar,unplanned,congestion,Unknown,IRR(Thanisandra road),not_applicable,2,2,0,1,night,0,1,0.011790989201936204,0.6911764705882353,1,0
FKID000051,12.936133,77.5187044,2024-01-30 21:13:55.445000+00:00,,High,False,Byatarayanapura,unplanned,vehicle_breakdown,Unknown,Mysore Road,lcv,2,2,0,1,night,0,1,0.09035621198957429,0.6623004502660663,1,0
FKID000052,12.9694079,77.7006346,2024-01-30 20:56:01.732000+00:00,,High,False,HAL Old Airport,planned,construction,Unknown,ORR East 2,not_applicable,2,2,0,1,night,0,1,0.022713168673203426,0.6438356164383562,1,0
FKID000053,12.9849833,77.5883633,2024-01-30 21:47:40.463000+00:00,69.32987603333332,High,False,High ground,unplanned,vehicle_breakdown,Unknown,Bellary Road 1,private_car,3,2,0,1,night,0,1,0.07533821521658185,0.6623004502660663,1,0
FKID000054,13.0127301,77.5545135,2024-03-07 20:42:57.607000+00:00,,High,False,Malleshwaram,unplanned,vehicle_breakdown,Unknown,West of Chord Road,truck,2,4,0,3,night,0,1,0.021347896239295023,0.6623004502660663,1,0
FKID000055,12.9842019,77.7336286,2024-01-30 21:54:56.083000+00:00,61.27697078333333,Low,False,Whitefield,unplanned,road_conditions,Unknown,Non-corridor,not_applicable,3,2,0,1,night,0,0,0.38029043068139506,0.5470588235294118,0,0
FKID000056,13.2644465,77.7187627,2024-01-30 19:36:33.702000+00:00,,Low,True,Devanahalli Airport,unplanned,vehicle_breakdown,Unknown,Non-corridor,heavy_vehicle,1,2,0,1,night,0,0,0.38029043068139506,0.6623004502660663,0,1
FKID000057,12.9848257,77.7527586,2024-01-30 22:06:02.276000+00:00,36.41233746666667,Low,False,Mahadevapura,unplanned,vehicle_breakdown,Unknown,Non-corridor,private_car,3,2,0,1,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000058,12.9932986,77.5837571,2024-03-07 20:51:39.532000+00:00,,High,False,High ground,unplanned,tree_fall,Unknown,Bellary Road 1,not_applicable,2,4,0,3,night,0,1,0.07533821521658185,0.3274647887323944,1,0
FKID000059,12.9937523,77.5842482,2024-03-07 20:47:40.640000+00:00,,High,False,High ground,unplanned,tree_fall,Unknown,Bellary Road 1,not_applicable,2,4,0,3,night,0,1,0.07533821521658185,0.3274647887323944,1,0
FKID000060,12.9938868,77.5841876,2024-03-07 20:45:19.752000+00:00,,High,False,High ground,unplanned,tree_fall,Unknown,Bellary Road 1,not_applicable,2,4,0,3,night,0,1,0.07533821521658185,0.3274647887323944,1,0
FKID000061,12.9368467,77.6928653,2024-01-30 23:05:02.339000+00:00,10.513486133333334,High,False,HAL Old Airport,unplanned,vehicle_breakdown,Unknown,ORR East 1,private_car,4,2,0,1,night,0,1,0.03003599354598486,0.6623004502660663,1,0
FKID000062,13.0126766,77.5581246,2024-03-07 20:53:37.293000+00:00,,Low,True,Malleshwaram,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,1
FKID000063,12.9513113,77.4994888,2024-01-30 23:12:23.123000+00:00,83.22766023333334,Low,False,Jnanabharathi,unplanned,vehicle_breakdown,Unknown,Non-corridor,bmtc_bus,4,2,0,1,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000064,13.0160964,77.5068555,2024-01-30 21:21:57.881000+00:00,,Low,False,Peenya,unplanned,vehicle_breakdown,Unknown,Non-corridor,bmtc_bus,2,2,0,1,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000065,12.9807501,77.6028238,2024-03-07 21:05:54.697000+00:00,,High,False,Shivajinagar,unplanned,pot_holes,Unknown,CBD 1,not_applicable,2,4,0,3,night,0,1,0.0031028918952463696,0.5567970204841713,1,0
FKID000066,12.9165983,77.583705,2024-03-07 20:58:06.297000+00:00,321.23818236666665,Low,False,J.P. Nagar,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,0
FKID000067,13.0198619,77.6562235,2024-01-31 01:04:36.275000+00:00,,High,False,Hennuru,unplanned,pot_holes,Unknown,Unknown,not_applicable,6,2,0,1,off_peak,0,1,0.002482313516197096,0.5567970204841713,1,0
FKID000068,13.0191848,77.6555127,2024-01-31 01:01:36.195000+00:00,,High,False,Hennuru,unplanned,pot_holes,Unknown,ORR North 1,not_applicable,6,2,0,1,off_peak,0,1,0.034007695171900214,0.5567970204841713,1,0
FKID000069,12.9740913,77.5452252,2024-01-31 00:33:27.663000+00:00,44.18835605,High,False,Vijayanagara,unplanned,vehicle_breakdown,Unknown,West of Chord Road,bmtc_bus,6,2,0,1,off_peak,0,1,0.021347896239295023,0.6623004502660663,1,0
FKID000070,12.9740971,77.5449011,2024-01-31 00:36:02.277000+00:00,41.797760616666665,High,False,Vijayanagara,unplanned,vehicle_breakdown,Unknown,West of Chord Road,bmtc_bus,6,2,0,1,off_peak,0,1,0.021347896239295023,0.6623004502660663,1,0
FKID000071,12.9688926,77.569795,2024-01-31 01:24:44.373000+00:00,26.158530816666666,Low,False,Chamarajpet,unplanned,vehicle_breakdown,Unknown,Non-corridor,auto,6,2,0,1,off_peak,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000072,12.9838737,77.5286068,2024-01-30 23:46:07.351000+00:00,,High,False,Kamakshipalya,unplanned,pot_holes,Unknown,Magadi Road,not_applicable,5,2,0,1,night,0,1,0.030160109221794712,0.5567970204841713,1,0
FKID000073,12.9595586,77.5162093,2024-01-30 23:23:41.783000+00:00,,Low,False,Byatarayanapura,unplanned,others,Unknown,Non-corridor,not_applicable,4,2,0,1,night,0,0,0.38029043068139506,0.5959119496855346,0,0
FKID000074,12.9511354,77.5739687,2024-01-30 22:39:37.276000+00:00,,Low,False,V.V.Puram (C.Pet),unplanned,vehicle_breakdown,Unknown,Non-corridor,lcv,4,2,0,1,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000075,13.0192138,77.5395595,2024-01-30 23:11:03.886000+00:00,,Low,False,Rajajinagar,unplanned,vehicle_breakdown,Unknown,Non-corridor,others,4,2,0,1,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000076,12.9161187,77.5856548,2024-03-07 21:11:51.734000+00:00,,Low,False,J.P. Nagar,unplanned,pot_holes,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.5567970204841713,0,0
FKID000077,12.9284355,77.6811918,2024-01-30 23:18:30.880000+00:00,,High,True,Bellandur,unplanned,vehicle_breakdown,Unknown,ORR East 1,bmtc_bus,4,2,0,1,night,0,1,0.03003599354598486,0.6623004502660663,1,1
FKID000078,13.0753282,77.4370383,2024-03-07 19:23:40.435000+00:00,,Low,False,No Police Station,unplanned,vehicle_breakdown,Unknown,Non-corridor,heavy_vehicle,0,4,0,3,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000079,13.2673624,77.7195893,2024-03-07 19:23:25.400000+00:00,,Low,False,Devanahalli Airport,unplanned,vehicle_breakdown,Unknown,Non-corridor,heavy_vehicle,0,4,0,3,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000080,12.9449039,77.4949618,2024-03-07 21:25:26.425000+00:00,15.88912515,Low,False,Jnanabharathi,unplanned,others,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.5959119496855346,0,0
FKID000081,12.9873133,77.6163481,2024-03-07 21:17:00.312000+00:00,116.8119772,Low,False,Pulikeshinagar(F.Town),unplanned,tree_fall,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,0
FKID000082,12.969418,77.7006526,2024-03-07 21:23:16.629000+00:00,,High,False,HAL Old Airport,planned,construction,Unknown,ORR East 2,not_applicable,2,4,0,3,night,0,1,0.022713168673203426,0.6438356164383562,1,0
FKID000083,12.9613232,77.5644194,2024-03-07 21:14:45.233000+00:00,,High,True,Chamarajpet,unplanned,others,Unknown,Mysore Road,not_applicable,2,4,0,3,night,0,1,0.09035621198957429,0.5959119496855346,1,1
FKID000084,12.959419,77.5165897,2024-03-07 21:28:44.841000+00:00,,Low,False,Byatarayanapura,unplanned,others,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.5959119496855346,0,0
FKID000085,12.9431035,77.6220445,2024-03-07 21:25:14.206000+00:00,,Low,False,Adugodi,unplanned,pot_holes,Unknown,Non-corridor,not_applicable,2,4,0,3,night,0,0,0.38029043068139506,0.5567970204841713,0,0
FKID000086,12.8482637,77.6713737,2024-01-31 02:47:16.032000+00:00,83.47854003333333,Low,False,Electronic City,unplanned,vehicle_breakdown,Unknown,Non-corridor,lcv,8,2,0,1,morning_peak,1,0,0.38029043068139506,0.6623004502660663,0,0
FKID000087,12.96672,77.6093294,2024-01-31 05:03:24.794000+00:00,52.75157615,High,False,Ashok Nagar,unplanned,vehicle_breakdown,Unknown,Mysore Road,bmtc_bus,10,2,0,1,morning_peak,1,1,0.09035621198957429,0.6623004502660663,1,0
FKID000088,13.0253205,77.6400845,2024-03-07 21:35:50.715000+00:00,74.82553706666666,High,False,Banaswadi,unplanned,vehicle_breakdown,Unknown,ORR North 1,private_bus,3,4,0,3,night,0,1,0.034007695171900214,0.6623004502660663,1,0
FKID000089,12.8561783,77.6645205,2024-01-31 02:08:55.286000+00:00,,Low,False,Electronic City,unplanned,vehicle_breakdown,Unknown,Non-corridor,heavy_vehicle,7,2,0,1,off_peak,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000090,12.9641056,77.5825203,2024-01-31 03:04:31.974000+00:00,,High,False,Halasuru Gate,unplanned,water_logging,Unknown,Mysore Road,not_applicable,8,2,0,1,morning_peak,1,1,0.09035621198957429,0.5917030567685589,1,0
FKID000091,12.974757,77.5657216,2024-01-31 01:22:31.388000+00:00,,High,False,Magadi Road,unplanned,vehicle_breakdown,Unknown,Magadi Road,lcv,6,2,0,1,off_peak,0,1,0.030160109221794712,0.6623004502660663,1,0
FKID000092,12.9640011,77.5836093,2024-01-31 01:45:45.370000+00:00,,High,False,Halasuru Gate,unplanned,vehicle_breakdown,Unknown,Mysore Road,bmtc_bus,7,2,0,1,off_peak,0,1,0.09035621198957429,0.6623004502660663,1,0
FKID000093,12.9480512,77.5343585,2024-01-31 04:21:01.833000+00:00,47.68990556666667,High,False,Byatarayanapura,unplanned,vehicle_breakdown,Unknown,Mysore Road,heavy_vehicle,9,2,0,1,morning_peak,1,1,0.09035621198957429,0.6623004502660663,1,0
FKID000094,12.9245654,77.6739287,2024-01-31 03:31:13.977000+00:00,,High,False,Bellandur,unplanned,vehicle_breakdown,Unknown,ORR East 1,bmtc_bus,9,2,0,1,morning_peak,1,1,0.03003599354598486,0.6623004502660663,1,0
FKID000095,13.0078566,77.5920655,2024-03-07 21:47:02.800000+00:00,8.620181266666666,Low,False,R.T. Nagar,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,3,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,0
FKID000096,13.0035862,77.5721203,2024-03-07 21:49:19.785000+00:00,,Low,True,Malleshwaram,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,3,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,1
FKID000097,12.9854129,77.5941024,2024-03-07 21:59:21.123000+00:00,,High,False,Cubbon Park,unplanned,others,Unknown,CBD 2,not_applicable,3,4,0,3,night,0,1,0.01216333622936577,0.5959119496855346,1,0
FKID000098,12.9272622,77.5806774,2024-03-07 21:57:57.213000+00:00,,Low,True,Jayanagara,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,3,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,1
FKID000099,13.0022504,77.5722138,2024-03-07 21:37:11.187000+00:00,,Low,True,Sadashivanagar,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,3,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,1
FKID000100,12.9586724,77.5629452,2024-03-07 21:34:37.863000+00:00,,High,True,Chamarajpet,unplanned,tree_fall,Unknown,Mysore Road,not_applicable,3,4,0,3,night,0,1,0.09035621198957429,0.3274647887323944,1,1
FKID000101,13.0369808,77.5895122,2024-01-31 03:11:13.623000+00:00,,High,False,Hebbala,unplanned,vehicle_breakdown,Unknown,Bellary Road 1,truck,8,2,0,1,morning_peak,1,1,0.07533821521658185,0.6623004502660663,1,0
FKID000102,12.9169077,77.5737827,2024-01-31 03:23:09.510000+00:00,,Low,False,Jayanagara,unplanned,vehicle_breakdown,Unknown,Non-corridor,bmtc_bus,8,2,0,1,morning_peak,1,0,0.38029043068139506,0.6623004502660663,0,0
FKID000103,12.9047066,77.6016042,2024-03-07 22:01:11.729000+00:00,,High,False,J.P. Nagar,unplanned,pot_holes,Unknown,Bannerghata Road,not_applicable,3,4,0,3,night,0,1,0.025816060568449796,0.5567970204841713,1,0
FKID000104,12.9047995,77.6017019,2024-03-07 22:02:40.027000+00:00,,High,False,J.P. Nagar,unplanned,pot_holes,Unknown,Bannerghata Road,not_applicable,3,4,0,3,night,0,1,0.025816060568449796,0.5567970204841713,1,0
FKID000105,12.9774707,77.5457303,2024-03-07 22:06:56.368000+00:00,,High,False,Vijayanagara,unplanned,water_logging,Unknown,West of Chord Road,not_applicable,3,4,0,3,night,0,1,0.021347896239295023,0.5917030567685589,1,0
FKID000106,12.904781,77.6015741,2024-03-07 22:07:52.537000+00:00,,High,False,J.P. Nagar,unplanned,pot_holes,Unknown,Bannerghata Road,not_applicable,3,4,0,3,night,0,1,0.025816060568449796,0.5567970204841713,1,0
FKID000107,12.9238693,77.5536044,2024-01-31 05:41:26.253000+00:00,141.02791743333333,High,False,Banashankari,unplanned,vehicle_breakdown,Unknown,ORR West 1,others,11,2,0,1,morning_peak,1,1,0.020603202184435895,0.6623004502660663,1,0
FKID000108,12.9585656,77.5932824,2024-01-31 07:26:39.082000+00:00,,Low,False,Ashok Nagar,unplanned,others,Unknown,Non-corridor,not_applicable,12,2,0,1,off_peak,0,0,0.38029043068139506,0.5959119496855346,0,0
FKID000109,12.9601533,77.5633429,2024-03-07 22:16:53.889000+00:00,,High,False,Chamarajpet,unplanned,tree_fall,Unknown,Mysore Road,not_applicable,3,4,0,3,night,0,1,0.09035621198957429,0.3274647887323944,1,0
FKID000110,12.9578001,77.5631189,2024-03-07 22:08:18.693000+00:00,,Low,False,Chamarajpet,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,3,4,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,0
FKID000111,12.95836,77.5776317,2024-03-07 22:28:07.464000+00:00,,Low,False,City Market,unplanned,vehicle_breakdown,Unknown,Non-corridor,private_bus,3,4,0,3,night,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000112,12.9187567,77.621505,2023-12-16 02:15:10.244000+00:00,,High,False,Madiwala,unplanned,pot_holes,South Zone 2,ORR East 1,not_applicable,7,5,1,12,off_peak,0,1,0.03003599354598486,0.5567970204841713,1,0
FKID000113,13.0331905,77.5901915,2024-03-07 22:40:56.720000+00:00,545.3734030166667,High,False,Hebbala,unplanned,construction,Unknown,Bellary Road 1,not_applicable,4,4,0,3,night,0,1,0.07533821521658185,0.6438356164383562,1,0
FKID000114,12.9360494,77.6154975,2024-03-07 20:31:07.587000+00:00,,Low,True,Adugodi,unplanned,vehicle_breakdown,Unknown,Non-corridor,lcv,2,4,0,3,night,0,0,0.38029043068139506,0.6623004502660663,0,1
